Datetime,Open,High,Low,Close,% Change,Volume
2024-01-26 14:30:00,182.3,183.38,182.12,182.63,0.18%,10014292
2024-01-26 15:30:00,182.63,183.47,182.61,183.23,0.33%,7488537
2024-01-29 09:30:00,185.63,186.88,183.67,185.28,-0.19%,30072189
2024-01-29 10:30:00,185.27,190.9,185.01,189.87,2.48%,28532747
2024-01-29 11:30:00,189.89,190.59,187.62,187.68,-1.16%,17491021
2024-01-29 12:30:00,187.66,188.97,187.2,187.42,-0.13%,12171668
2024-01-29 13:30:00,187.44,189.49,187.39,189.03,0.85%,9023655
2024-01-29 14:30:00,189.04,191.23,188.29,191.2,1.14%,12615585
2024-01-29 15:30:00,191.18,191.48,189.91,190.97,-0.11%,8962212
2024-01-30 09:30:00,195.33,195.51,192.19,194.8,-0.27%,35160197
2024-01-30 10:30:00,194.81,196.36,192.62,193.27,-0.79%,20099962
2024-01-30 11:30:00,193.28,194.4,191.38,191.64,-0.85%,14135090
2024-01-30 12:30:00,191.62,192.23,190.61,192.09,0.24%,11681428
2024-01-30 13:30:00,192.1,192.4,191.14,191.85,-0.13%,9837273
2024-01-30 14:30:00,191.86,192.34,191.44,191.98,0.06%,6735741
2024-01-30 15:30:00,191.99,192.28,191.58,191.59,-0.21%,5126552
2024-01-31 09:30:00,187.0,190.37,185.85,188.73,0.93%,25540005
2024-01-31 10:30:00,188.71,191.35,188.59,190.53,0.96%,14153400
2024-01-31 11:30:00,190.53,191.03,189.54,190.83,0.16%,7848447
2024-01-31 12:30:00,190.83,191.85,190.38,191.33,0.26%,8919731
2024-01-31 13:30:00,191.32,192.24,189.47,189.63,-0.89%,11193589
2024-01-31 14:30:00,189.62,193.97,188.51,189.21,-0.22%,19831156
2024-01-31 15:30:00,189.2,189.34,187.13,187.22,-1.05%,10186033
2024-02-01 09:30:00,188.5,189.88,186.89,187.59,-0.49%,24167624
2024-02-01 10:30:00,187.59,187.94,184.28,185.09,-1.33%,19631385
2024-02-01 11:30:00,185.1,187.15,184.9,186.72,0.88%,11545095
2024-02-01 12:30:00,186.69,188.03,186.03,187.19,0.27%,9747311
2024-02-01 13:30:00,187.2,188.22,186.9,187.6,0.21%,8379575
2024-02-01 14:30:00,187.59,188.97,187.12,188.31,0.38%,9028017
2024-02-01 15:30:00,188.31,189.02,188.13,188.8,0.26%,6020525
2024-02-02 09:30:00,185.0,186.83,182.32,183.7,-0.70%,30650463
2024-02-02 10:30:00,183.7,184.09,182.41,183.41,-0.16%,16019695
2024-02-02 11:30:00,183.42,183.97,182.53,183.06,-0.20%,10534957
2024-02-02 12:30:00,183.08,185.38,182.0,185.27,1.20%,15549902
2024-02-02 13:30:00,185.29,188.69,184.76,187.85,1.38%,15300264
2024-02-02 14:30:00,187.87,188.37,187.19,188.26,0.21%,11845053
2024-02-02 15:30:00,188.26,188.37,187.71,187.83,-0.23%,6809450
2024-02-05 09:30:00,184.25,184.31,178.73,178.93,-2.89%,33863217
2024-02-05 10:30:00,178.93,178.96,175.01,177.39,-0.86%,31251242
2024-02-05 11:30:00,177.38,180.36,177.36,180.36,1.68%,16401063
2024-02-05 12:30:00,180.35,182.58,178.28,181.36,0.56%,16207730
2024-02-05 13:30:00,181.36,182.24,180.8,181.96,0.33%,11308840
2024-02-05 14:30:00,181.97,182.33,179.28,180.5,-0.81%,13901899
2024-02-05 15:30:00,180.52,181.3,180.15,181.03,0.29%,7640386
2024-02-06 09:30:00,177.21,186.49,177.11,182.87,3.19%,42763774
2024-02-06 10:30:00,182.86,185.5,182.64,183.28,0.23%,19994576
2024-02-06 11:30:00,183.27,183.72,181.22,183.02,-0.13%,15865368
2024-02-06 12:30:00,183.03,183.39,182.33,182.74,-0.16%,10643721
2024-02-06 13:30:00,182.75,183.6,182.37,183.08,0.18%,11170855
2024-02-06 14:30:00,183.1,185.77,182.98,184.45,0.74%,12141109
2024-02-06 15:30:00,184.45,185.11,183.86,185.1,0.35%,7143401
2024-02-07 09:30:00,188.18,189.22,182.68,186.19,-1.06%,38283416
2024-02-07 10:30:00,186.22,187.54,185.59,187.16,0.50%,19412311
2024-02-07 11:30:00,187.17,187.48,186.35,186.95,-0.12%,8644742
2024-02-07 12:30:00,186.96,189.45,186.47,189.2,1.20%,12283972
2024-02-07 13:30:00,189.21,189.79,187.75,188.78,-0.23%,13406711
2024-02-07 14:30:00,188.8,189.06,187.9,188.68,-0.06%,9574312
2024-02-07 15:30:00,188.7,188.83,187.4,187.67,-0.55%,6133346
2024-02-08 09:30:00,189.0,189.23,185.58,188.16,-0.44%,23271830
2024-02-08 10:30:00,188.16,191.28,188.07,190.79,1.40%,16153002
2024-02-08 11:30:00,190.8,191.62,190.11,190.66,-0.07%,11263594
2024-02-08 12:30:00,190.65,190.66,188.52,188.91,-0.91%,10875576
2024-02-08 13:30:00,188.91,190.19,188.68,189.61,0.37%,8010199
2024-02-08 14:30:00,189.59,190.21,188.76,190.01,0.22%,6808792
2024-02-08 15:30:00,190.01,190.05,189.11,189.48,-0.28%,4914073
2024-02-09 09:30:00,190.18,194.12,189.48,193.56,1.78%,28110232
2024-02-09 10:30:00,193.58,193.74,190.77,191.08,-1.29%,16323170
2024-02-09 11:30:00,191.07,192.3,190.51,192.12,0.55%,9454704
2024-02-09 12:30:00,192.13,193.2,191.35,193.13,0.52%,8792961
2024-02-09 13:30:00,193.13,193.25,192.45,192.92,-0.11%,6542665
2024-02-09 14:30:00,192.92,193.3,192.18,192.75,-0.09%,6770856
2024-02-09 15:30:00,192.74,193.71,192.29,193.57,0.43%,6777523
2024-02-12 09:30:00,192.11,194.73,191.43,192.57,0.24%,25584046
2024-02-12 10:30:00,192.55,193.34,190.38,191.31,-0.64%,15722938
2024-02-12 11:30:00,191.33,191.97,187.7,188.32,-1.57%,15403976
2024-02-12 12:30:00,188.31,190.15,188.18,188.79,0.25%,10956272
2024-02-12 13:30:00,188.79,189.1,187.28,188.54,-0.13%,10805809
2024-02-12 14:30:00,188.56,189.03,187.67,188.52,-0.02%,8274049
2024-02-12 15:30:00,188.5,188.78,187.75,187.98,-0.28%,5941738
2024-02-13 09:30:00,183.99,187.26,183.25,184.86,0.47%,27029323
2024-02-13 10:30:00,184.87,185.72,183.67,184.5,-0.20%,13544071
2024-02-13 11:30:00,184.51,185.34,183.07,183.19,-0.72%,9933173
2024-02-13 12:30:00,183.19,184.65,183.08,184.37,0.64%,8358222
2024-02-13 13:30:00,184.35,184.5,182.51,182.95,-0.76%,8969961
2024-02-13 14:30:00,182.94,183.47,182.11,182.44,-0.27%,8970379
2024-02-13 15:30:00,182.44,184.11,182.4,184.01,0.86%,7148640
2024-02-14 09:30:00,185.3,187.06,183.35,186.08,0.42%,23235462
2024-02-14 10:30:00,186.09,186.48,183.91,185.21,-0.47%,11562527
2024-02-14 11:30:00,185.22,186.18,184.91,186.06,0.45%,8389857
2024-02-14 12:30:00,186.08,186.74,185.43,186.2,0.07%,7491651
2024-02-14 13:30:00,186.21,187.47,185.93,187.16,0.51%,8829553
2024-02-14 14:30:00,187.16,188.1,186.66,188.08,0.49%,7420664
2024-02-14 15:30:00,188.09,188.89,187.81,188.72,0.33%,7022863
2024-02-15 09:30:00,189.16,195.76,188.86,195.16,3.17%,31060806
2024-02-15 10:30:00,195.17,195.45,192.37,193.65,-0.78%,16887420
2024-02-15 11:30:00,193.64,196.33,193.53,195.58,1.00%,12888095
2024-02-15 12:30:00,195.58,198.33,195.51,198.11,1.29%,15179749
2024-02-15 13:30:00,198.12,198.75,197.05,197.9,-0.11%,14018797
2024-02-15 14:30:00,197.9,198.9,197.57,198.82,0.46%,11762269
2024-02-15 15:30:00,198.81,200.88,198.81,200.49,0.85%,13652658
2024-02-16 09:30:00,200.63,203.17,197.4,199.11,-0.76%,36686761
2024-02-16 10:30:00,199.13,201.7,198.03,201.22,1.05%,15992329
2024-02-16 11:30:00,201.22,202.94,199.6,200.5,-0.36%,15553038
2024-02-16 12:30:00,200.5,201.29,198.11,199.41,-0.54%,11965426
2024-02-16 13:30:00,199.4,201.11,198.76,200.86,0.73%,9900287
2024-02-16 14:30:00,200.85,201.37,199.1,200.09,-0.38%,10398016
2024-02-16 15:30:00,200.09,200.22,199.32,199.94,-0.07%,7519851
2024-02-20 09:30:00,197.13,198.6,191.33,191.42,-2.89%,31821711
2024-02-20 10:30:00,191.41,193.75,191.08,192.63,0.64%,14613652
2024-02-20 11:30:00,192.64,192.67,189.17,190.18,-1.28%,13767617
2024-02-20 12:30:00,190.17,191.14,189.13,190.54,0.19%,12139057
2024-02-20 13:30:00,190.54,191.77,189.95,191.59,0.55%,10804365
2024-02-20 14:30:00,191.56,193.18,191.39,193.14,0.82%,10080021
2024-02-20 15:30:00,193.14,193.88,192.15,193.76,0.32%,7248757
2024-02-21 09:30:00,194.34,199.44,193.99,196.17,0.94%,31916156
2024-02-21 10:30:00,196.21,196.67,193.95,194.06,-1.09%,17291793
2024-02-21 11:30:00,194.08,194.57,192.5,193.03,-0.54%,12162665
2024-02-21 12:30:00,193.04,193.77,191.95,192.82,-0.11%,11778792
2024-02-21 13:30:00,192.81,194.7,192.48,193.47,0.34%,10969228
2024-02-21 14:30:00,193.44,193.66,192.3,193.36,-0.04%,8680950
2024-02-21 15:30:00,193.37,194.88,193.29,194.88,0.78%,6905876
2024-02-22 09:30:00,194.0,195.37,191.36,193.23,-0.40%,25080297
2024-02-22 10:30:00,193.23,194.27,191.39,193.9,0.35%,15039979
2024-02-22 11:30:00,193.91,196.18,193.89,195.91,1.03%,11368761
2024-02-22 12:30:00,195.92,197.4,195.33,197.29,0.70%,12830229
2024-02-22 13:30:00,197.28,197.86,196.7,197.54,0.13%,8868916
2024-02-22 14:30:00,197.55,197.99,196.5,197.66,0.06%,8371154
2024-02-22 15:30:00,197.66,198.32,197.17,197.38,-0.14%,6757081
2024-02-23 09:30:00,195.31,197.57,191.5,193.58,-0.89%,22848415
2024-02-23 10:30:00,193.58,195.55,193.45,194.52,0.49%,12173116
2024-02-23 11:30:00,194.52,195.38,193.82,193.92,-0.31%,8404361
2024-02-23 12:30:00,193.93,194.08,192.71,193.97,0.02%,9909803
2024-02-23 13:30:00,193.97,194.09,192.15,192.61,-0.70%,9216985
2024-02-23 14:30:00,192.61,193.25,191.89,191.97,-0.33%,7420957
2024-02-23 15:30:00,191.99,192.54,191.71,191.92,-0.04%,6255409
2024-02-26 09:30:00,194.07,199.86,193.75,197.71,1.88%,31238191
2024-02-26 10:30:00,197.72,200.21,197.23,199.96,1.13%,20727340
2024-02-26 11:30:00,199.96,201.78,199.3,200.28,0.16%,17812335
2024-02-26 12:30:00,200.27,200.74,199.07,199.23,-0.52%,13379703
2024-02-26 13:30:00,199.25,200.0,198.6,199.66,0.20%,9114767
2024-02-26 14:30:00,199.67,200.0,198.53,199.42,-0.12%,9975553
2024-02-26 15:30:00,199.42,199.9,198.8,199.35,-0.04%,6324319
2024-02-27 09:30:00,205.0,205.6,201.0,202.5,-1.22%,34902138
2024-02-27 10:30:00,202.49,203.59,201.09,201.98,-0.25%,15012545
2024-02-27 11:30:00,201.95,202.74,200.57,200.63,-0.65%,12264866
2024-02-27 12:30:00,200.63,200.96,198.33,198.61,-1.01%,15163084
2024-02-27 13:30:00,198.64,200.8,198.26,200.66,1.02%,13519858
2024-02-27 14:30:00,200.67,200.92,199.43,199.99,-0.34%,9616992
2024-02-27 15:30:00,199.98,200.04,198.86,199.72,-0.13%,6333084
2024-02-28 09:30:00,200.42,203.33,198.44,202.75,1.16%,30192577
2024-02-28 10:30:00,202.76,205.2,202.43,205.12,1.16%,20692187
2024-02-28 11:30:00,205.13,205.3,202.94,203.26,-0.91%,12857169
2024-02-28 12:30:00,203.27,203.75,202.42,202.8,-0.23%,9438532
2024-02-28 13:30:00,202.82,203.73,202.15,202.16,-0.32%,9291830
2024-02-28 14:30:00,202.17,202.44,201.3,202.05,-0.06%,9589475
2024-02-28 15:30:00,202.06,202.41,201.66,202.15,0.04%,4898985
2024-02-29 09:30:00,205.0,205.25,200.5,202.04,-1.44%,28277300
2024-02-29 10:30:00,202.03,202.22,199.51,199.67,-1.17%,14655480
