security,ticker,McapRank,TurnRank,VolatilityRank,PriceRank,LitVol,OrderVol,Hidden,TradesForHidden,HiddenVol,TradeVolForHidden,Cancels,LitTrades,OddLots,TradesForOddLots,OddLotVol,TradeVolForOddLots,Cancel_to_Trade,Trade_to_Order_Volume,Hidden_Rate,Hidden_Volume,Oddlot_Rate,Oddlot_Volume,date,qtr
Stock,MSFT,10,4,2,10,8576.49,360934.689,35268,194010,1748.964,10325.454,4378175,157921,143289,193150,3378.415,10265.948,27.72383027,2.376188896,18.17844441,16.93837385,74.18534818,32.90894324,21/2/2023,31/3/2023
Stock,MSFT,10,4,2,10,7738.523,589215.128,27991,165547,1226.054,8964.577,6715143,137213,119757,165154,2917.125,8936.538,48.93955383,1.313361221,16.90818922,13.67665201,72.51232183,32.64267438,22/2/2023,31/3/2023
Stock,MSFT,10,5,3,10,10806.427,695523.38,33020,230338,1510.773,12317.2,7646500,196478,168050,229438,3906.62,12259.457,38.91784322,1.553711537,14.33545485,12.26555548,73.24418797,31.86617482,23/2/2023,31/3/2023
Stock,MSFT,10,4,2,10,9032.613,620145.265,30168,203875,1429.699,10462.312,6619779,172887,153026,203012,3544.886,10384.361,38.28962849,1.456531802,14.79730227,13.66523002,75.37781018,34.13677548,24/2/2023,31/3/2023
Stock,MSFT,10,4,2,10,7666.136,639381.879,23843,162148,746.593,8412.729,5532438,137202,119547,161014,2694.034,8302.577,40.32330433,1.198991753,14.70446752,8.874563771,74.24633883,32.4481664,27/2/2023,31/3/2023
Stock,MSFT,10,3,2,10,6628.117,426832.857,26101,155877,1022.243,7650.36,4659588,129108,117935,155200,2504.558,7622.562,36.09062181,1.55286007,16.74461274,13.36202479,75.98904639,32.85716797,28/2/2023,31/3/2023
Stock,MSFT,10,4,2,10,9021.737,593969.6,28098,198713,1421.743,10443.48,6463150,170043,146339,198118,3223.087,10411.876,38.00891539,1.518888677,14.13999084,13.61369007,73.86456556,30.95587193,1/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,8704.538,440292.575,31347,198789,1346.045,10050.583,5536528,166808,147481,198122,3294.983,10009.001,33.19102201,1.976989505,15.76898118,13.39270568,74.43948678,32.92019853,2/3/2023,31/3/2023
Stock,MSFT,10,5,2,10,9603.652,389531.5,25576,211507,1191.678,10795.33,4717842,185188,158879,210753,3623.974,10754.225,25.47595957,2.465436557,12.09227118,11.03882883,75.38635275,33.69814189,3/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,8510.989,514418.928,28612,194213,1129.596,9640.585,5792650,164796,145256,193377,3204.115,9614.73,35.15042841,1.654485972,14.73227848,11.71708978,75.11544806,33.32506477,6/3/2023,31/3/2023
Stock,MSFT,10,4,3,10,9112.118,487549.972,31668,237735,1202.071,10314.189,6417110,205383,188292,237018,3802.527,10291.117,31.24460155,1.868960829,13.32071424,11.65453726,79.44206769,36.94960421,7/3/2023,31/3/2023
Stock,MSFT,10,3,3,10,6866.855,436084.405,31015,177901,987.36,7854.215,6354074,146442,139164,177419,2900.375,7830.812,43.38969695,1.574661905,17.43385366,12.57108444,78.43804779,37.03798533,8/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,10555.46,561472.442,37198,263580,1217.23,11772.69,8318862,225751,206913,262805,4566.217,11700.363,36.84972381,1.879960477,14.11260338,10.33943814,78.73252031,39.02628491,9/3/2023,31/3/2023
Stock,MSFT,10,3,2,10,12863.5,972330.206,37178,289900,1422.433,14285.933,13102936,251400,213345,288511,4818.861,14190.757,52.11987271,1.322955918,12.82442222,9.95687856,73.94692057,33.95774447,10/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,15261.213,899375.89,48853,294521,2095.924,17357.137,10161282,244516,205267,293284,5454.428,17273.904,41.55671613,1.696867035,16.58727222,12.07528638,69.98915727,31.5761162,13/3/2023,31/3/2023
Stock,MSFT,10,4,1,10,14095.931,730813.61,49041,289051,2286.801,16382.732,7843357,237963,204886,286908,4977.929,16144.483,32.96040561,1.928799739,16.96621012,13.95860593,71.41174174,30.83362285,14/3/2023,31/3/2023
Stock,MSFT,10,5,2,10,19136.97,765214.092,76376,417069,3983.552,23120.522,9716491,339518,295090,415820,7379.4,23057.591,28.61848562,2.500864817,18.3125574,17.22950719,70.96580251,32.00421067,15/3/2023,31/3/2023
Stock,MSFT,10,6,2,10,23514.698,669784.299,71791,461251,4053.48,27568.178,8749251,387122,321103,458780,8026.095,27339.772,22.60075893,3.510786687,15.5644107,14.70347442,69.99062732,29.35684687,16/3/2023,31/3/2023
Stock,MSFT,10,5,3,10,20800.917,652338.413,60543,444039,3159.405,23960.322,9149985,381641,324378,442089,7687.299,23828.72,23.97537214,3.188669651,13.63461318,13.18598723,73.3739134,32.26064598,17/3/2023,31/3/2023
Stock,MSFT,10,5,2,10,15128.702,427441.976,64319,367094,4703.581,19832.283,5910381,301526,277707,365669,6543.8,19769.029,19.60156338,3.539358053,17.52112538,23.71679045,75.94491193,33.10127169,20/3/2023,31/3/2023
Stock,MSFT,10,5,2,10,11225.395,422404.812,37263,256037,2052.987,13278.382,5228652,217916,196399,255133,4303.273,13236.497,23.99388755,2.657496951,14.5537559,15.4611232,76.97906582,32.51066351,21/3/2023,31/3/2023
Stock,MSFT,10,5,3,10,13386.156,617733.811,43305,311221,2254.127,15640.283,7679910,267357,237561,310621,5448.102,15597.605,28.72529988,2.166978035,13.91454947,14.41231594,76.47937519,34.92909328,22/3/2023,31/3/2023
Stock,MSFT,10,5,2,10,13612.884,728175.836,35501,281587,2613.304,16226.188,9844976,245415,201605,280820,4754.447,16172.165,40.11562455,1.869450115,12.60747123,16.10547098,71.79153906,29.39895184,23/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,10711.358,608603.652,26541,246598,1211.038,11922.396,8454630,219163,184451,245663,4179.264,11876.767,38.57690395,1.75998911,10.76286101,10.15767301,75.08293882,35.18856605,24/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,8817.721,440902.234,29486,183913,1385.488,10203.209,4982024,153193,130633,182563,3227.017,10050.186,32.52122486,1.999926587,16.03258062,13.57894364,71.55502484,32.10902763,27/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,7348.459,313636.71,24151,170818,1416.115,8764.574,3865386,146143,128494,170266,3016.054,8739.724,26.44934071,2.34298434,14.13843974,16.1572599,75.46662281,34.50971678,28/3/2023,31/3/2023
Stock,MSFT,10,4,2,10,8648.542,305700.79,27826,186792,1338.109,9986.651,3771142,157725,134203,185533,3177.262,9867.29,23.90960216,2.829087226,14.89678359,13.39897629,72.33376273,32.19994548,29/3/2023,31/3/2023
Stock,MSFT,10,5,2,10,8251.903,282919.773,30149,192909,1413.421,9665.324,3736697,162369,145262,192485,3315.376,9643.195,23.01361097,2.916693631,15.62861246,14.62362772,75.46665974,34.38047245,30/3/2023,31/3/2023
Stock,MSFT,10,4,1,10,11322.323,340507.449,34612,248485,1795.71,13118.033,4092230,213402,185999,247989,4149.404,13082.361,19.1761558,3.32513225,13.92921102,13.68886631,75.00292352,31.71754701,31/3/2023,31/3/2023
Stock,MSFT,10,4,1,10,8977.74,327956.241,29773,201022,1295.853,10273.593,4383552,170563,149309,200256,3478.159,10225.116,25.70048604,2.737481065,14.81081673,12.61343524,74.5590644,34.01583904,3/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,8825.536,494854.647,29715,200705,1308.637,10134.173,5891116,169846,150139,199477,3227.302,10053.445,34.6850441,1.783460265,14.80531128,12.91311092,75.26632143,32.10145378,4/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,8218.215,436301.16,27362,188071,1144.91,9363.125,5055560,159657,139488,186904,3036.365,9246.48,31.66513213,1.883610624,14.54876084,12.22786196,74.63082652,32.83806378,5/4/2023,30/6/2023
Stock,MSFT,10,5,2,10,9834.402,311919.661,46074,235843,2177.421,12011.823,4240421,188884,180382,234901,4062.35,11925.531,22.4498687,3.152863775,19.53587768,18.12731506,76.79064798,34.06431127,6/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,7679.957,441203.439,25104,166999,977.985,8657.942,5251769,141510,125368,166603,2751.63,8620.727,37.11235248,1.740683848,15.03242534,11.29581372,75.24954533,31.91876973,10/4/2023,30/6/2023
Stock,MSFT,10,5,2,10,9411.642,295486.548,31504,215287,1383.361,10795.003,3976540,183150,162003,214634,3648.965,10743.864,21.71193011,3.185133829,14.63348925,12.81482738,75.47872192,33.96324637,11/4/2023,30/6/2023
Stock,MSFT,10,5,2,10,9618.119,503612.839,38604,237326,1372.192,10990.311,6333097,198115,184842,236681,3768.566,10964.045,31.96677182,1.909824027,16.26623295,12.48547016,78.09752367,34.37204061,12/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,7426.219,339260.945,35050,183825,1198.607,8624.826,4200964,148041,138904,183069,2903.676,8592.129,28.37703069,2.188940139,19.06704746,13.89717311,75.87521645,33.79460434,13/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,7387.282,434300.886,37203,193157,1415.207,8802.489,5591909,155573,150956,192763,3139.856,8777.46,35.94395557,1.700959459,19.26049794,16.0773504,78.3117092,35.77180642,14/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,6957.436,348566.673,21924,158502,832.744,7790.18,4132914,135946,119720,157837,2613.45,7727.505,30.40114457,1.996012969,13.83200212,10.68966314,75.85040263,33.82010106,17/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,6856.655,334005.44,19868,150802,808.867,7665.522,4311722,130298,113977,150146,2588.082,7616.415,33.09123701,2.052857283,13.17489158,10.55201459,75.91078017,33.98031751,18/4/2023,30/6/2023
Stock,MSFT,10,3,2,10,6611.104,321177.316,19923,160095,888.676,7499.78,3847610,139491,122576,159347,2620.659,7439.958,27.58321325,2.058396926,12.44448609,11.84936092,76.92394585,35.22411014,19/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,7914.707,343144.695,24013,186077,1809.369,9724.076,4472488,161243,140426,185222,2992.356,9687.66,27.7375638,2.306521743,12.90487271,18.60710468,75.81496798,30.88832597,20/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,7261.26,394952.769,25726,187253,1391.863,8653.123,4996782,160911,146857,186591,3238.001,8607.026,31.05307903,1.838513506,13.73863169,16.08509436,78.70529661,37.6204394,21/4/2023,30/6/2023
Stock,MSFT,10,5,3,10,9946.813,374335.057,39050,251585,1907.988,11854.801,4416516,211828,197183,250792,4329.096,11806.273,20.84953831,2.657195156,15.5215931,16.09464385,78.62411879,36.66776128,24/4/2023,30/6/2023
Stock,MSFT,10,6,2,10,11717.082,295693.321,82630,327030,3036.803,14753.885,3529861,243128,259332,325701,5410.531,14676.257,14.51852933,3.962579189,25.2667951,20.58307354,79.62272145,36.865878,25/4/2023,30/6/2023
Stock,MSFT,10,8,3,10,20480.765,374950.115,72471,472294,3786.993,24267.758,4795917,398454,356407,470843,8321.892,24140.222,12.03631285,5.46226396,15.34446764,15.60503859,75.69550784,34.47313782,26/4/2023,30/6/2023
